arquivo,status,total_materiais,linhas_texto,palavras_texto,secoes_identificadas
Projeto arquitetura Legal Cartão Joinville.pdf,sucesso,413,247,922,6
PROJETO AS CANOAS aprovado Bianca 21.07.2022.pdf,sucesso,169,72,194,0
PROJ_ARQ_LEGAL_AmorSaúde_São Mateus_SP_R04-Layout1.pdf,sucesso,105,408,662,0
PROJ_ARQ_LEGAL_AmorSaúde_São Mateus_SP_R04-Layout2.pdf,sucesso,61,144,268,0
PROJ_ARQ_LEGAL_AmorSaúde_São Mateus_SP_R04-Layout3.pdf,sucesso,59,142,315,0
PROJ_ARQ_LEGAL_AmorSaúde_São Mateus_SP_R04-Layout4.pdf,sucesso,64,401,629,0
RA-BVAR-2402205-01_CAMBUÍ_ARQ_EXE_R00_OP02-CIVIL.pdf,sucesso,195,367,2192,23
RA-BVAR-2402205-01_CAMBUÍ_ARQ_EXE_R00_OP02-FORRO.pdf,sucesso,51,175,568,8
RA-BVAR-2402205-01_CAMBUÍ_ARQ_EXE_R00_OP02-LAYOUT.pdf,sucesso,63,202,501,5
RA-BVAR-2402205-01_CAMBUÍ_ARQ_EXE_R00_OP02-PISO.pdf,sucesso,145,226,854,8
RF_SETE_LAGOAS_EXECUTIVO_R02.pdf,sucesso,236,610,2854,29
RF_SETE_LAGOAS_FACHADA_R01.pdf,sucesso,76,116,786,8
RF_SETE_LAGOAS_MOBILIARIO_R00.pdf,sucesso,458,704,2407,47
RF_VIAMA_O_FACHADA_R03.pdf,sucesso,82,190,906,6
RF_VIAMA_O_MOBILIARIO_R01.pdf,sucesso,510,835,2843,47
RF_VIAMÃO_EXECUTIVO_R01.pdf,sucesso,243,606,2916,29
